2040,1404
2040,1848
2040,1356
2040,1344
1608,2040
1356,2040
2040,1356
2040,1356
2040,1524
2040,1644
2040,1356
2040,1356
2040,1368
1356,2040
2040,1356
2040,1356
2040,1356
2040,1368
2040,1536
2040,1392
2040,768
2040,960
2040,1356
2040,1356
1140,2040
2040,1536
2040,1548
2040,1992
2040,1356
2040,1272
2040,1356
2040,1356
2040,1356
2040,1356
2040,1356
2040,1536
2040,1356
2040,1224
2040,1356
2040,1356
2040,1356
2040,1356
2040,1356
2040,2040
2040,1140
1356,2040
2040,1356
2040,1356
2040,1356
2040,1356
2040,1368
2040,1356
2040,1356
2040,1332
2040,1152
2040,1380
2040,1356
2040,1356
1644,2040
2040,1224
1284,2040
2040,1428
2040,1584
2040,1356
2040,1188
2040,1356
2040,1320
2040,1380
1248,2040
2040,1356
1356,2040
2040,1356
2040,1140
2040,1356
2040,1356
2040,1572
2040,1356
2040,1356
2040,1356
2040,1332
2040,1356
2040,1212
2040,1164
2040,1368
2040,1356
2040,1356
2040,1356
2040,1356
1536,2040
2040,1356
2040,1536
2040,1152
2040,1368
2040,1272
2040,1356
2040,1356
2040,1188
2040,1536
2040,1536
2040,1356
2040,1512
2040,1368
2040,1140
2040,1320
2040,1296
2040,1152
2040,1356
2040,1536
2040,1356
2040,1356
2040,1356
1356,2040
2040,1368
1368,2040
2040,1536
2040,1356
2040,1356
2040,1488
1356,2040
2040,1356
2040,1356
2040,960
2040,1536
1356,2040
2040,1356
2040,1464
2040,1356
2040,1284
2040,1356
2040,1356
2040,1356
2040,1296
2040,1356
1776,2040
2040,1344
2040,1356
2040,1332
2040,1356
2040,948
2040,1356
2040,1356
2040,1356
2040,1356
2040,1356
2040,732
2040,1356
2040,1656
2040,1356
2040,1752
1164,2040
2040,1356
2040,1356
2040,1356
2040,1356
2040,2040
2040,1356
2040,1356
2040,1224
2040,1356
2040,1356
2040,1260
1368,2040
2040,1356
2040,1356
2040,1356
2040,1356
1356,2040
2040,1356
2040,1356
2040,1152
2040,1536
2040,1260
2040,1356
2040,1308
2040,1068
2040,1644
2040,1356
2040,1356
2040,1356
2040,1356
2040,1536
2040,1248
2040,1356
